﻿Daily Discharge (m3/s) (PARAM = 1),,,,
 ID,PARAM,Date,Value,SYM
08NK028,1,1985-01-27,,
08NK028,1,1985-01-28,,
08NK028,1,1985-01-29,,
08NK028,1,1985-01-30,,
08NK028,1,1985-01-31,,
08NK028,1,1985-02-01,,
08NK028,1,1985-02-02,,
08NK028,1,1985-02-03,,
08NK028,1,1985-02-04,,
08NK028,1,1985-02-05,,
08NK028,1,1985-02-06,,
08NK028,1,1985-02-07,,
08NK028,1,1985-02-08,,
08NK028,1,1985-02-09,,
08NK028,1,1985-02-10,,
08NK028,1,1985-02-11,,
08NK028,1,1985-02-12,,
08NK028,1,1985-02-13,,
08NK028,1,1985-02-14,,
08NK028,1,1985-02-15,,
08NK028,1,1985-02-16,,
08NK028,1,1985-02-17,,
08NK028,1,1985-02-18,,
08NK028,1,1985-02-19,,
08NK028,1,1985-02-20,,
08NK028,1,1985-02-21,,
08NK028,1,1985-02-22,,
08NK028,1,1985-02-23,,
08NK028,1,1985-02-24,,
08NK028,1,1985-02-25,,
08NK028,1,1985-02-26,,
08NK028,1,1985-02-27,,
08NK028,1,1985-02-28,,
08NK028,1,1985-03-01,,
08NK028,1,1985-03-02,,
08NK028,1,1985-03-03,,
08NK028,1,1985-03-04,,
08NK028,1,1985-03-05,,
08NK028,1,1985-03-06,,
08NK028,1,1985-03-07,,
08NK028,1,1985-03-08,,
08NK028,1,1985-03-09,,
08NK028,1,1985-03-10,,
08NK028,1,1985-03-11,,
08NK028,1,1985-03-12,,
08NK028,1,1985-03-13,,
08NK028,1,1985-03-14,,
08NK028,1,1985-03-15,,
08NK028,1,1985-03-16,,
08NK028,1,1985-03-17,,
08NK028,1,1985-03-18,,
08NK028,1,1985-03-19,,
08NK028,1,1985-03-20,,
08NK028,1,1985-03-21,,
08NK028,1,1985-03-22,,
08NK028,1,1985-03-23,,
08NK028,1,1985-03-24,,
08NK028,1,1985-03-25,,
08NK028,1,1985-03-26,,
08NK028,1,1985-03-27,,
08NK028,1,1985-03-28,,
08NK028,1,1985-03-29,,
08NK028,1,1985-03-30,,
08NK028,1,1985-03-31,,
08NK028,1,1985-04-01,0.19,A
08NK028,1,1985-04-02,0.202,
08NK028,1,1985-04-03,0.276,
08NK028,1,1985-04-04,0.231,B
08NK028,1,1985-04-05,0.221,
08NK028,1,1985-04-06,0.24,
08NK028,1,1985-04-07,0.267,
08NK028,1,1985-04-08,0.295,
08NK028,1,1985-04-09,0.337,
08NK028,1,1985-04-10,0.388,
08NK028,1,1985-04-11,0.562,
08NK028,1,1985-04-12,0.72,
08NK028,1,1985-04-13,0.987,
08NK028,1,1985-04-14,1.24,
08NK028,1,1985-04-15,1.22,
08NK028,1,1985-04-16,0.969,
08NK028,1,1985-04-17,0.906,
08NK028,1,1985-04-18,0.781,
08NK028,1,1985-04-19,0.652,
08NK028,1,1985-04-20,0.578,
08NK028,1,1985-04-21,0.507,
08NK028,1,1985-04-22,0.479,
08NK028,1,1985-04-23,0.423,
08NK028,1,1985-04-24,0.401,
08NK028,1,1985-04-25,0.372,
08NK028,1,1985-04-26,0.361,
08NK028,1,1985-04-27,0.523,
08NK028,1,1985-04-28,1.38,
08NK028,1,1985-04-29,1.33,
08NK028,1,1985-04-30,1.34,
08NK028,1,1985-05-01,1.55,
08NK028,1,1985-05-02,2.13,
08NK028,1,1985-05-03,2.9,
08NK028,1,1985-05-04,2.66,
08NK028,1,1985-05-05,1.93,
08NK028,1,1985-05-06,1.66,
08NK028,1,1985-05-07,1.71,
08NK028,1,1985-05-08,1.79,
08NK028,1,1985-05-09,1.87,
08NK028,1,1985-05-10,1.91,
08NK028,1,1985-05-11,1.73,
08NK028,1,1985-05-12,1.54,
08NK028,1,1985-05-13,1.5,
08NK028,1,1985-05-14,1.7,
08NK028,1,1985-05-15,2.09,
08NK028,1,1985-05-16,2.82,
08NK028,1,1985-05-17,3.51,
08NK028,1,1985-05-18,4.33,
08NK028,1,1985-05-19,5.17,
08NK028,1,1985-05-20,5.67,
08NK028,1,1985-05-21,5.97,
08NK028,1,1985-05-22,6.17,
08NK028,1,1985-05-23,6.25,
08NK028,1,1985-05-24,6.24,
08NK028,1,1985-05-25,6.63,
08NK028,1,1985-05-26,5.29,
08NK028,1,1985-05-27,4.2,
08NK028,1,1985-05-28,3.75,
08NK028,1,1985-05-29,3.38,
08NK028,1,1985-05-30,3.26,
08NK028,1,1985-05-31,3.29,
08NK028,1,1985-06-01,3.16,
08NK028,1,1985-06-02,2.81,
08NK028,1,1985-06-03,2.48,
08NK028,1,1985-06-04,2.39,
08NK028,1,1985-06-05,2.41,
08NK028,1,1985-06-06,2.49,
08NK028,1,1985-06-07,4.53,
08NK028,1,1985-06-08,4.97,
08NK028,1,1985-06-09,3.41,
08NK028,1,1985-06-10,2.78,
08NK028,1,1985-06-11,2.43,
08NK028,1,1985-06-12,2.37,
08NK028,1,1985-06-13,2.28,
08NK028,1,1985-06-14,2.17,
08NK028,1,1985-06-15,2.21,
08NK028,1,1985-06-16,2.02,
08NK028,1,1985-06-17,1.83,
08NK028,1,1985-06-18,1.73,
08NK028,1,1985-06-19,1.71,
08NK028,1,1985-06-20,1.79,
08NK028,1,1985-06-21,1.62,
08NK028,1,1985-06-22,1.46,
08NK028,1,1985-06-23,1.32,
08NK028,1,1985-06-24,1.18,
08NK028,1,1985-06-25,1.06,
08NK028,1,1985-06-26,0.98,
08NK028,1,1985-06-27,0.931,
08NK028,1,1985-06-28,0.921,
08NK028,1,1985-06-29,0.911,
08NK028,1,1985-06-30,0.885,
08NK028,1,1985-07-01,0.826,
08NK028,1,1985-07-02,0.784,
08NK028,1,1985-07-03,0.742,
08NK028,1,1985-07-04,0.707,
08NK028,1,1985-07-05,0.665,
08NK028,1,1985-07-06,0.61,
08NK028,1,1985-07-07,0.582,
08NK028,1,1985-07-08,0.533,
08NK028,1,1985-07-09,0.507,
08NK028,1,1985-07-10,0.494,
08NK028,1,1985-07-11,0.451,
08NK028,1,1985-07-12,0.43,
08NK028,1,1985-07-13,0.405,
08NK028,1,1985-07-14,0.373,
08NK028,1,1985-07-15,0.353,
08NK028,1,1985-07-16,0.337,
08NK028,1,1985-07-17,0.342,
